,statement,1,2,3,4,5,6,7,8,score
1661,7*90=630,7,*,9,0,=,6,3,0,7
1662,630/7=90,6,3,0,/,7,=,9,0,7
1663,7-97=-90,7,-,9,7,=,-,9,0,5
1664,7*91=637,7,*,9,1,=,6,3,7,7
1665,637/7=91,6,3,7,/,7,=,9,1,7
1666,7-98=-91,7,-,9,8,=,-,9,1,6
1667,7*92=644,7,*,9,2,=,6,4,4,7
1668,644/7=92,6,4,4,/,7,=,9,2,7
1669,7-99=-92,7,-,9,9,=,-,9,2,5
1670,7*93=651,7,*,9,3,=,6,5,1,8
1671,651/7=93,6,5,1,/,7,=,9,3,8
1672,7+93=100,7,+,9,3,=,1,0,0,7
1673,100-7=93,1,0,0,-,7,=,9,3,7
1674,7*94=658,7,*,9,4,=,6,5,8,8
1675,658/7=94,6,5,8,/,7,=,9,4,8
1676,7+94=101,7,+,9,4,=,1,0,1,7
1677,101-7=94,1,0,1,-,7,=,9,4,7
1678,7*95=665,7,*,9,5,=,6,6,5,6
1679,665/7=95,6,6,5,/,7,=,9,5,6
1680,7+95=102,7,+,9,5,=,1,0,2,8
1681,102-7=95,1,0,2,-,7,=,9,5,8
1682,7*96=672,7,*,9,6,=,6,7,2,6
1683,672/7=96,6,7,2,/,7,=,9,6,6
1684,7+96=103,7,+,9,6,=,1,0,3,8
1685,103-7=96,1,0,3,-,7,=,9,6,8
1686,7*97=679,7,*,9,7,=,6,7,9,5
1687,679/7=97,6,7,9,/,7,=,9,7,5
1688,7+97=104,7,+,9,7,=,1,0,4,7
1689,104-7=97,1,0,4,-,7,=,9,7,7
1690,7*98=686,7,*,9,8,=,6,8,6,6
1691,686/7=98,6,8,6,/,7,=,9,8,6
1692,7+98=105,7,+,9,8,=,1,0,5,8
1693,105-7=98,1,0,5,-,7,=,9,8,8
1694,7*99=693,7,*,9,9,=,6,9,3,6
1695,693/7=99,6,9,3,/,7,=,9,9,6
1696,7+99=106,7,+,9,9,=,1,0,6,7
1697,106-7=99,1,0,6,-,7,=,9,9,7
1698,-10+2=-8,-,1,0,+,2,=,-,8,7
1699,-11+3=-8,-,1,1,+,3,=,-,8,6
1700,-12+4=-8,-,1,2,+,4,=,-,8,7
1701,-13+5=-8,-,1,3,+,5,=,-,8,7
1702,-14+6=-8,-,1,4,+,6,=,-,8,7
1703,-15+7=-8,-,1,5,+,7,=,-,8,7
1704,-16+8=-8,-,1,6,+,8,=,-,8,6
1705,--1-9=-8,-,-,1,-,9,=,-,8,5
1706,-17+9=-8,-,1,7,+,9,=,-,8,7
1707,8-18=-10,8,-,1,8,=,-,1,0,5
1708,8-19=-11,8,-,1,9,=,-,1,1,5
1709,8-20=-12,8,-,2,0,=,-,1,2,6
1710,8*13=104,8,*,1,3,=,1,0,4,7
1711,104/8=13,1,0,4,/,8,=,1,3,7
1712,8-21=-13,8,-,2,1,=,-,1,3,6
1713,8*14=112,8,*,1,4,=,1,1,2,6
1714,112/8=14,1,1,2,/,8,=,1,4,6
1715,8-22=-14,8,-,2,2,=,-,1,4,6
1716,8*15=120,8,*,1,5,=,1,2,0,7
1717,120/8=15,1,2,0,/,8,=,1,5,7
1718,8-23=-15,8,-,2,3,=,-,1,5,7
1719,8*16=128,8,*,1,6,=,1,2,8,6
1720,128/8=16,1,2,8,/,8,=,1,6,6
1721,8-24=-16,8,-,2,4,=,-,1,6,7
1722,8*17=136,8,*,1,7,=,1,3,6,7
1723,136/8=17,1,3,6,/,8,=,1,7,7
1724,8-25=-17,8,-,2,5,=,-,1,7,7
1725,8*18=144,8,*,1,8,=,1,4,4,5
1726,144/8=18,1,4,4,/,8,=,1,8,5
1727,8-26=-18,8,-,2,6,=,-,1,8,6
1728,8*19=152,8,*,1,9,=,1,5,2,7
1729,152/8=19,1,5,2,/,8,=,1,9,7
1730,8-27=-19,8,-,2,7,=,-,1,9,7
1731,8*20=160,8,*,2,0,=,1,6,0,7
1732,160/8=20,1,6,0,/,8,=,2,0,7
1733,8-28=-20,8,-,2,8,=,-,2,0,5
1734,8*21=168,8,*,2,1,=,1,6,8,6
1735,168/8=21,1,6,8,/,8,=,2,1,6
1736,8-29=-21,8,-,2,9,=,-,2,1,6
1737,8*22=176,8,*,2,2,=,1,7,6,7
1738,176/8=22,1,7,6,/,8,=,2,2,7
1739,8-30=-22,8,-,3,0,=,-,2,2,6
1740,8*23=184,8,*,2,3,=,1,8,4,7
1741,184/8=23,1,8,4,/,8,=,2,3,7
1742,8-31=-23,8,-,3,1,=,-,2,3,6
1743,8*24=192,8,*,2,4,=,1,9,2,7
1744,192/8=24,1,9,2,/,8,=,2,4,7
1745,8-32=-24,8,-,3,2,=,-,2,4,6
1746,8*25=200,8,*,2,5,=,2,0,0,6
1747,200/8=25,2,0,0,/,8,=,2,5,6
1748,8-33=-25,8,-,3,3,=,-,2,5,6
1749,8*26=208,8,*,2,6,=,2,0,8,6
1750,208/8=26,2,0,8,/,8,=,2,6,6
1751,8-34=-26,8,-,3,4,=,-,2,6,7
1752,8*27=216,8,*,2,7,=,2,1,6,7
1753,216/8=27,2,1,6,/,8,=,2,7,7
1754,8-35=-27,8,-,3,5,=,-,2,7,7
1755,8*28=224,8,*,2,8,=,2,2,4,5
1756,224/8=28,2,2,4,/,8,=,2,8,5
1757,8-36=-28,8,-,3,6,=,-,2,8,6
1758,8*29=232,8,*,2,9,=,2,3,2,6
1759,232/8=29,2,3,2,/,8,=,2,9,6
1760,8-37=-29,8,-,3,7,=,-,2,9,7
1761,8*30=240,8,*,3,0,=,2,4,0,7
1762,240/8=30,2,4,0,/,8,=,3,0,7
1763,8-38=-30,8,-,3,8,=,-,3,0,5
1764,8*31=248,8,*,3,1,=,2,4,8,7
1765,248/8=31,2,4,8,/,8,=,3,1,7
1766,8-39=-31,8,-,3,9,=,-,3,1,6
1767,8*32=256,8,*,3,2,=,2,5,6,7
1768,256/8=32,2,5,6,/,8,=,3,2,7
1769,8-40=-32,8,-,4,0,=,-,3,2,7
1770,8*33=264,8,*,3,3,=,2,6,4,7
1771,264/8=33,2,6,4,/,8,=,3,3,7
1772,8-41=-33,8,-,4,1,=,-,3,3,6
1773,8*34=272,8,*,3,4,=,2,7,2,7
1774,272/8=34,2,7,2,/,8,=,3,4,7
1775,8-42=-34,8,-,4,2,=,-,3,4,6
1776,8*35=280,8,*,3,5,=,2,8,0,7
1777,280/8=35,2,8,0,/,8,=,3,5,7
1778,8-43=-35,8,-,4,3,=,-,3,5,6
1779,8*36=288,8,*,3,6,=,2,8,8,6
1780,288/8=36,2,8,8,/,8,=,3,6,6
1781,8-44=-36,8,-,4,4,=,-,3,6,6
1782,8*37=296,8,*,3,7,=,2,9,6,8
1783,296/8=37,2,9,6,/,8,=,3,7,8
1784,8-45=-37,8,-,4,5,=,-,3,7,7
1785,8*38=304,8,*,3,8,=,3,0,4,6
1786,304/8=38,3,0,4,/,8,=,3,8,6
1787,8-46=-38,8,-,4,6,=,-,3,8,6
1788,8*39=312,8,*,3,9,=,3,1,2,7
1789,312/8=39,3,1,2,/,8,=,3,9,7
1790,8-47=-39,8,-,4,7,=,-,3,9,7
1791,8*40=320,8,*,4,0,=,3,2,0,7
1792,320/8=40,3,2,0,/,8,=,4,0,7
1793,8-48=-40,8,-,4,8,=,-,4,0,5
1794,8*41=328,8,*,4,1,=,3,2,8,7
1795,328/8=41,3,2,8,/,8,=,4,1,7
1796,8-49=-41,8,-,4,9,=,-,4,1,6
1797,8*42=336,8,*,4,2,=,3,3,6,7
1798,336/8=42,3,3,6,/,8,=,4,2,7
1799,8-50=-42,8,-,5,0,=,-,4,2,7
1800,8*43=344,8,*,4,3,=,3,4,4,5
1801,344/8=43,3,4,4,/,8,=,4,3,5
1802,8-51=-43,8,-,5,1,=,-,4,3,7
1803,8*44=352,8,*,4,4,=,3,5,2,7
1804,352/8=44,3,5,2,/,8,=,4,4,7
1805,8-52=-44,8,-,5,2,=,-,4,4,6
1806,8*45=360,8,*,4,5,=,3,6,0,8
1807,360/8=45,3,6,0,/,8,=,4,5,8
1808,8-53=-45,8,-,5,3,=,-,4,5,6
1809,8*46=368,8,*,4,6,=,3,6,8,6
1810,368/8=46,3,6,8,/,8,=,4,6,6
1811,8-54=-46,8,-,5,4,=,-,4,6,6
1812,8*47=376,8,*,4,7,=,3,7,6,7
1813,376/8=47,3,7,6,/,8,=,4,7,7
1814,8-55=-47,8,-,5,5,=,-,4,7,6
1815,8*48=384,8,*,4,8,=,3,8,4,5
1816,384/8=48,3,8,4,/,8,=,4,8,5
1817,8-56=-48,8,-,5,6,=,-,4,8,6
1818,8*49=392,8,*,4,9,=,3,9,2,7
1819,392/8=49,3,9,2,/,8,=,4,9,7
1820,8-57=-49,8,-,5,7,=,-,4,9,7
1821,8*50=400,8,*,5,0,=,4,0,0,6
1822,400/8=50,4,0,0,/,8,=,5,0,6
1823,8-58=-50,8,-,5,8,=,-,5,0,5
1824,8*51=408,8,*,5,1,=,4,0,8,7
1825,408/8=51,4,0,8,/,8,=,5,1,7
1826,8-59=-51,8,-,5,9,=,-,5,1,6
1827,8*52=416,8,*,5,2,=,4,1,6,8
1828,416/8=52,4,1,6,/,8,=,5,2,8
1829,8-60=-52,8,-,6,0,=,-,5,2,7
1830,8*53=424,8,*,5,3,=,4,2,4,7
1831,424/8=53,4,2,4,/,8,=,5,3,7
1832,8-61=-53,8,-,6,1,=,-,5,3,7
1833,8*54=432,8,*,5,4,=,4,3,2,7
1834,432/8=54,4,3,2,/,8,=,5,4,7
1835,8-62=-54,8,-,6,2,=,-,5,4,7
1836,8*55=440,8,*,5,5,=,4,4,0,6
1837,440/8=55,4,4,0,/,8,=,5,5,6
1838,8-63=-55,8,-,6,3,=,-,5,5,6
1839,8*56=448,8,*,5,6,=,4,4,8,6
1840,448/8=56,4,4,8,/,8,=,5,6,6
1841,8-64=-56,8,-,6,4,=,-,5,6,6
1842,8*57=456,8,*,5,7,=,4,5,6,7
1843,456/8=57,4,5,6,/,8,=,5,7,7
1844,8-65=-57,8,-,6,5,=,-,5,7,6
1845,8*58=464,8,*,5,8,=,4,6,4,6
1846,464/8=58,4,6,4,/,8,=,5,8,6
1847,8-66=-58,8,-,6,6,=,-,5,8,5
1848,8*59=472,8,*,5,9,=,4,7,2,8
1849,472/8=59,4,7,2,/,8,=,5,9,8
1850,8-67=-59,8,-,6,7,=,-,5,9,7
1851,8*60=480,8,*,6,0,=,4,8,0,6
1852,480/8=60,4,8,0,/,8,=,6,0,6
1853,8-68=-60,8,-,6,8,=,-,6,0,5
1854,8*61=488,8,*,6,1,=,4,8,8,6
1855,488/8=61,4,8,8,/,8,=,6,1,6
1856,8-69=-61,8,-,6,9,=,-,6,1,6
1857,8*62=496,8,*,6,2,=,4,9,6,7
1858,496/8=62,4,9,6,/,8,=,6,2,7
1859,8-70=-62,8,-,7,0,=,-,6,2,7
1860,8*63=504,8,*,6,3,=,5,0,4,8
1861,504/8=63,5,0,4,/,8,=,6,3,8
1862,8-71=-63,8,-,7,1,=,-,6,3,7
1863,8*64=512,8,*,6,4,=,5,1,2,8
1864,512/8=64,5,1,2,/,8,=,6,4,8
1865,8-72=-64,8,-,7,2,=,-,6,4,7
1866,8*65=520,8,*,6,5,=,5,2,0,7
1867,520/8=65,5,2,0,/,8,=,6,5,7
1868,8-73=-65,8,-,7,3,=,-,6,5,7
1869,8*66=528,8,*,6,6,=,5,2,8,6
1870,528/8=66,5,2,8,/,8,=,6,6,6
1871,8-74=-66,8,-,7,4,=,-,6,6,6
1872,8*67=536,8,*,6,7,=,5,3,6,7
1873,536/8=67,5,3,6,/,8,=,6,7,7
1874,8-75=-67,8,-,7,5,=,-,6,7,6
1875,8*68=544,8,*,6,8,=,5,4,4,6
1876,544/8=68,5,4,4,/,8,=,6,8,6
1877,8-76=-68,8,-,7,6,=,-,6,8,5
1878,8*69=552,8,*,6,9,=,5,5,2,7
1879,552/8=69,5,5,2,/,8,=,6,9,7
1880,8-77=-69,8,-,7,7,=,-,6,9,6
1881,8*70=560,8,*,7,0,=,5,6,0,7
1882,560/8=70,5,6,0,/,8,=,7,0,7
1883,8-78=-70,8,-,7,8,=,-,7,0,5
1884,8*71=568,8,*,7,1,=,5,6,8,7
1885,568/8=71,5,6,8,/,8,=,7,1,7
1886,8-79=-71,8,-,7,9,=,-,7,1,6
1887,8*72=576,8,*,7,2,=,5,7,6,7
1888,576/8=72,5,7,6,/,8,=,7,2,7
1889,8-80=-72,8,-,8,0,=,-,7,2,6
1890,8*73=584,8,*,7,3,=,5,8,4,7
1891,584/8=73,5,8,4,/,8,=,7,3,7
1892,8-81=-73,8,-,8,1,=,-,7,3,6
1893,8*74=592,8,*,7,4,=,5,9,2,8
1894,592/8=74,5,9,2,/,8,=,7,4,8
1895,8-82=-74,8,-,8,2,=,-,7,4,6
1896,8*75=600,8,*,7,5,=,6,0,0,7
1897,600/8=75,6,0,0,/,8,=,7,5,7
1898,8-83=-75,8,-,8,3,=,-,7,5,6
1899,8*76=608,8,*,7,6,=,6,0,8,6
1900,608/8=76,6,0,8,/,8,=,7,6,6
1901,8-84=-76,8,-,8,4,=,-,7,6,6
1902,8*77=616,8,*,7,7,=,6,1,6,6
1903,616/8=77,6,1,6,/,8,=,7,7,6
1904,8-85=-77,8,-,8,5,=,-,7,7,5
1905,8*78=624,8,*,7,8,=,6,2,4,7
1906,624/8=78,6,2,4,/,8,=,7,8,7
1907,8-86=-78,8,-,8,6,=,-,7,8,5
1908,8*79=632,8,*,7,9,=,6,3,2,8
1909,632/8=79,6,3,2,/,8,=,7,9,8
1910,8-87=-79,8,-,8,7,=,-,7,9,5
1911,8*80=640,8,*,8,0,=,6,4,0,6
1912,640/8=80,6,4,0,/,8,=,8,0,6
1913,8-88=-80,8,-,8,8,=,-,8,0,4
1914,8*81=648,8,*,8,1,=,6,4,8,6
1915,648/8=81,6,4,8,/,8,=,8,1,6
1916,8-89=-81,8,-,8,9,=,-,8,1,5
1917,8*82=656,8,*,8,2,=,6,5,6,6
1918,656/8=82,6,5,6,/,8,=,8,2,6
1919,8-90=-82,8,-,9,0,=,-,8,2,6
1920,8*83=664,8,*,8,3,=,6,6,4,6
1921,664/8=83,6,6,4,/,8,=,8,3,6
1922,8-91=-83,8,-,9,1,=,-,8,3,6
1923,8*84=672,8,*,8,4,=,6,7,2,7
1924,672/8=84,6,7,2,/,8,=,8,4,7
1925,8-92=-84,8,-,9,2,=,-,8,4,6
1926,8*85=680,8,*,8,5,=,6,8,0,6
1927,680/8=85,6,8,0,/,8,=,8,5,6
1928,8-93=-85,8,-,9,3,=,-,8,5,6
1929,8*86=688,8,*,8,6,=,6,8,8,4
1930,688/8=86,6,8,8,/,8,=,8,6,4
1931,8-94=-86,8,-,9,4,=,-,8,6,6
1932,8*87=696,8,*,8,7,=,6,9,6,6
1933,696/8=87,6,9,6,/,8,=,8,7,6
1934,8-95=-87,8,-,9,5,=,-,8,7,6
1935,8*88=704,8,*,8,8,=,7,0,4,6
1936,704/8=88,7,0,4,/,8,=,8,8,6
1937,8-96=-88,8,-,9,6,=,-,8,8,5
1938,8*89=712,8,*,8,9,=,7,1,2,7
1939,712/8=89,7,1,2,/,8,=,8,9,7
1940,8-97=-89,8,-,9,7,=,-,8,9,5
1941,8*90=720,8,*,9,0,=,7,2,0,7
1942,720/8=90,7,2,0,/,8,=,9,0,7
1943,8-98=-90,8,-,9,8,=,-,9,0,5
1944,8*91=728,8,*,9,1,=,7,2,8,7
1945,728/8=91,7,2,8,/,8,=,9,1,7
1946,8-99=-91,8,-,9,9,=,-,9,1,5
1947,8*92=736,8,*,9,2,=,7,3,6,8
1948,736/8=92,7,3,6,/,8,=,9,2,8
1949,8+92=100,8,+,9,2,=,1,0,0,7
1950,100-8=92,1,0,0,-,8,=,9,2,7
1951,8*93=744,8,*,9,3,=,7,4,4,7
1952,744/8=93,7,4,4,/,8,=,9,3,7
1953,8+93=101,8,+,9,3,=,1,0,1,7
1954,101-8=93,1,0,1,-,8,=,9,3,7
1955,8*94=752,8,*,9,4,=,7,5,2,8
1956,752/8=94,7,5,2,/,8,=,9,4,8
1957,8+94=102,8,+,9,4,=,1,0,2,8
1958,102-8=94,1,0,2,-,8,=,9,4,8
1959,8*95=760,8,*,9,5,=,7,6,0,8
1960,760/8=95,7,6,0,/,8,=,9,5,8
1961,8+95=103,8,+,9,5,=,1,0,3,8
1962,103-8=95,1,0,3,-,8,=,9,5,8
1963,8*96=768,8,*,9,6,=,7,6,8,6
1964,768/8=96,7,6,8,/,8,=,9,6,6
1965,8+96=104,8,+,9,6,=,1,0,4,8
1966,104-8=96,1,0,4,-,8,=,9,6,8
1967,8*97=776,8,*,9,7,=,7,7,6,6
1968,776/8=97,7,7,6,/,8,=,9,7,6
1969,8+97=105,8,+,9,7,=,1,0,5,8
1970,105-8=97,1,0,5,-,8,=,9,7,8
1971,8*98=784,8,*,9,8,=,7,8,4,6
1972,784/8=98,7,8,4,/,8,=,9,8,6
1973,8+98=106,8,+,9,8,=,1,0,6,7
1974,106-8=98,1,0,6,-,8,=,9,8,7
1975,8*99=792,8,*,9,9,=,7,9,2,6
1976,792/8=99,7,9,2,/,8,=,9,9,6
1977,8+99=107,8,+,9,9,=,1,0,7,7
1978,107-8=99,1,0,7,-,8,=,9,9,7
1979,-10+1=-9,-,1,0,+,1,=,-,9,6
1980,-11+2=-9,-,1,1,+,2,=,-,9,6
1981,-12+3=-9,-,1,2,+,3,=,-,9,7
1982,-13+4=-9,-,1,3,+,4,=,-,9,7
1983,-14+5=-9,-,1,4,+,5,=,-,9,7
1984,-15+6=-9,-,1,5,+,6,=,-,9,7
1985,-16+7=-9,-,1,6,+,7,=,-,9,7
1986,-17+8=-9,-,1,7,+,8,=,-,9,7
1987,-18+9=-9,-,1,8,+,9,=,-,9,6
1988,9-19=-10,9,-,1,9,=,-,1,0,5
1989,9-20=-11,9,-,2,0,=,-,1,1,6
1990,9*12=108,9,*,1,2,=,1,0,8,7
1991,108/9=12,1,0,8,/,9,=,1,2,7
1992,9-21=-12,9,-,2,1,=,-,1,2,5
1993,9*13=117,9,*,1,3,=,1,1,7,6
1994,117/9=13,1,1,7,/,9,=,1,3,6
1995,9-22=-13,9,-,2,2,=,-,1,3,6
1996,9*14=126,9,*,1,4,=,1,2,6,7
1997,126/9=14,1,2,6,/,9,=,1,4,7
1998,9-23=-14,9,-,2,3,=,-,1,4,7
1999,9*15=135,9,*,1,5,=,1,3,5,6
2000,135/9=15,1,3,5,/,9,=,1,5,6
2001,9-24=-15,9,-,2,4,=,-,1,5,7
2002,9*16=144,9,*,1,6,=,1,4,4,6
2003,144/9=16,1,4,4,/,9,=,1,6,6
2004,9-25=-16,9,-,2,5,=,-,1,6,7
2005,9*17=153,9,*,1,7,=,1,5,3,7
2006,153/9=17,1,5,3,/,9,=,1,7,7
2007,9-26=-17,9,-,2,6,=,-,1,7,7
2008,9*18=162,9,*,1,8,=,1,6,2,7
2009,162/9=18,1,6,2,/,9,=,1,8,7
2010,9-27=-18,9,-,2,7,=,-,1,8,7
2011,9*19=171,9,*,1,9,=,1,7,1,5
2012,171/9=19,1,7,1,/,9,=,1,9,5
2013,9-28=-19,9,-,2,8,=,-,1,9,6
2014,9*20=180,9,*,2,0,=,1,8,0,7
2015,180/9=20,1,8,0,/,9,=,2,0,7
2016,9-29=-20,9,-,2,9,=,-,2,0,5
2017,9*21=189,9,*,2,1,=,1,8,9,6
2018,189/9=21,1,8,9,/,9,=,2,1,6
2019,9-30=-21,9,-,3,0,=,-,2,1,7
2020,9*22=198,9,*,2,2,=,1,9,8,6
2021,198/9=22,1,9,8,/,9,=,2,2,6
2022,9-31=-22,9,-,3,1,=,-,2,2,6
2023,9*23=207,9,*,2,3,=,2,0,7,7
2024,207/9=23,2,0,7,/,9,=,2,3,7
2025,9-32=-23,9,-,3,2,=,-,2,3,5
2026,9*24=216,9,*,2,4,=,2,1,6,7
2027,216/9=24,2,1,6,/,9,=,2,4,7
2028,9-33=-24,9,-,3,3,=,-,2,4,6
2029,9*25=225,9,*,2,5,=,2,2,5,5
2030,225/9=25,2,2,5,/,9,=,2,5,5
2031,9-34=-25,9,-,3,4,=,-,2,5,7
2032,9*26=234,9,*,2,6,=,2,3,4,7
2033,234/9=26,2,3,4,/,9,=,2,6,7
2034,9-35=-26,9,-,3,5,=,-,2,6,7
2035,9*27=243,9,*,2,7,=,2,4,3,7
2036,243/9=27,2,4,3,/,9,=,2,7,7
2037,9-36=-27,9,-,3,6,=,-,2,7,7
2038,9*28=252,9,*,2,8,=,2,5,2,6
2039,252/9=28,2,5,2,/,9,=,2,8,6
2040,9-37=-28,9,-,3,7,=,-,2,8,7
2041,9*29=261,9,*,2,9,=,2,6,1,6
2042,261/9=29,2,6,1,/,9,=,2,9,6
2043,9-38=-29,9,-,3,8,=,-,2,9,6
2044,9*30=270,9,*,3,0,=,2,7,0,7
2045,270/9=30,2,7,0,/,9,=,3,0,7
2046,9-39=-30,9,-,3,9,=,-,3,0,5
2047,9*31=279,9,*,3,1,=,2,7,9,7
2048,279/9=31,2,7,9,/,9,=,3,1,7
2049,9-40=-31,9,-,4,0,=,-,3,1,7
2050,9*32=288,9,*,3,2,=,2,8,8,6
2051,288/9=32,2,8,8,/,9,=,3,2,6
2052,9-41=-32,9,-,4,1,=,-,3,2,7
2053,9*33=297,9,*,3,3,=,2,9,7,6
2054,297/9=33,2,9,7,/,9,=,3,3,6
2055,9-42=-33,9,-,4,2,=,-,3,3,6
2056,9*34=306,9,*,3,4,=,3,0,6,7
2057,306/9=34,3,0,6,/,9,=,3,4,7
2058,9-43=-34,9,-,4,3,=,-,3,4,5
2059,9*35=315,9,*,3,5,=,3,1,5,6
2060,315/9=35,3,1,5,/,9,=,3,5,6
2061,9-44=-35,9,-,4,4,=,-,3,5,6
2062,9*36=324,9,*,3,6,=,3,2,4,7
2063,324/9=36,3,2,4,/,9,=,3,6,7
2064,9-45=-36,9,-,4,5,=,-,3,6,7
2065,9*37=333,9,*,3,7,=,3,3,3,5
2066,333/9=37,3,3,3,/,9,=,3,7,5
2067,9-46=-37,9,-,4,6,=,-,3,7,7
2068,9*38=342,9,*,3,8,=,3,4,2,7
2069,342/9=38,3,4,2,/,9,=,3,8,7
2070,9-47=-38,9,-,4,7,=,-,3,8,7
2071,9*39=351,9,*,3,9,=,3,5,1,6
2072,351/9=39,3,5,1,/,9,=,3,9,6
2073,9-48=-39,9,-,4,8,=,-,3,9,6
2074,9*40=360,9,*,4,0,=,3,6,0,7
2075,360/9=40,3,6,0,/,9,=,4,0,7
2076,9-49=-40,9,-,4,9,=,-,4,0,5
2077,9*41=369,9,*,4,1,=,3,6,9,7
2078,369/9=41,3,6,9,/,9,=,4,1,7
2079,9-50=-41,9,-,5,0,=,-,4,1,7
2080,9*42=378,9,*,4,2,=,3,7,8,8
2081,378/9=42,3,7,8,/,9,=,4,2,8
2082,9-51=-42,9,-,5,1,=,-,4,2,7
2083,9*43=387,9,*,4,3,=,3,8,7,7
2084,387/9=43,3,8,7,/,9,=,4,3,7
2085,9-52=-43,9,-,5,2,=,-,4,3,7
2086,9*44=396,9,*,4,4,=,3,9,6,6
2087,396/9=44,3,9,6,/,9,=,4,4,6
2088,9-53=-44,9,-,5,3,=,-,4,4,6
2089,9*45=405,9,*,4,5,=,4,0,5,6
2090,405/9=45,4,0,5,/,9,=,4,5,6
2091,9-54=-45,9,-,5,4,=,-,4,5,5
2092,9*46=414,9,*,4,6,=,4,1,4,6
2093,414/9=46,4,1,4,/,9,=,4,6,6
2094,9-55=-46,9,-,5,5,=,-,4,6,6
2095,9*47=423,9,*,4,7,=,4,2,3,7
2096,423/9=47,4,2,3,/,9,=,4,7,7
2097,9-56=-47,9,-,5,6,=,-,4,7,7
2098,9*48=432,9,*,4,8,=,4,3,2,7
2099,432/9=48,4,3,2,/,9,=,4,8,7
2100,9-57=-48,9,-,5,7,=,-,4,8,7
2101,9*49=441,9,*,4,9,=,4,4,1,5
2102,441/9=49,4,4,1,/,9,=,4,9,5
2103,9-58=-49,9,-,5,8,=,-,4,9,6
2104,9*50=450,9,*,5,0,=,4,5,0,6
2105,450/9=50,4,5,0,/,9,=,5,0,6
2106,9-59=-50,9,-,5,9,=,-,5,0,5
2107,9*51=459,9,*,5,1,=,4,5,9,6
2108,459/9=51,4,5,9,/,9,=,5,1,6
2109,9-60=-51,9,-,6,0,=,-,5,1,7
2110,9*52=468,9,*,5,2,=,4,6,8,8
2111,468/9=52,4,6,8,/,9,=,5,2,8
2112,9-61=-52,9,-,6,1,=,-,5,2,7
2113,9*53=477,9,*,5,3,=,4,7,7,7
2114,477/9=53,4,7,7,/,9,=,5,3,7
2115,9-62=-53,9,-,6,2,=,-,5,3,7
2116,9*54=486,9,*,5,4,=,4,8,6,7
2117,486/9=54,4,8,6,/,9,=,5,4,7
2118,9-63=-54,9,-,6,3,=,-,5,4,7
2119,9*55=495,9,*,5,5,=,4,9,5,5
2120,495/9=55,4,9,5,/,9,=,5,5,5
2121,9-64=-55,9,-,6,4,=,-,5,5,6
2122,9*56=504,9,*,5,6,=,5,0,4,7
2123,504/9=56,5,0,4,/,9,=,5,6,7
2124,9-65=-56,9,-,6,5,=,-,5,6,5
2125,9*57=513,9,*,5,7,=,5,1,3,7
2126,513/9=57,5,1,3,/,9,=,5,7,7
2127,9-66=-57,9,-,6,6,=,-,5,7,6
2128,9*58=522,9,*,5,8,=,5,2,2,6
2129,522/9=58,5,2,2,/,9,=,5,8,6
2130,9-67=-58,9,-,6,7,=,-,5,8,7
2131,9*59=531,9,*,5,9,=,5,3,1,6
2132,531/9=59,5,3,1,/,9,=,5,9,6
2133,9-68=-59,9,-,6,8,=,-,5,9,6
2134,9*60=540,9,*,6,0,=,5,4,0,7
2135,540/9=60,5,4,0,/,9,=,6,0,7
2136,9-69=-60,9,-,6,9,=,-,6,0,5
2137,9*61=549,9,*,6,1,=,5,4,9,7
2138,549/9=61,5,4,9,/,9,=,6,1,7
2139,9-70=-61,9,-,7,0,=,-,6,1,7
2140,9*62=558,9,*,6,2,=,5,5,8,7
2141,558/9=62,5,5,8,/,9,=,6,2,7
2142,9-71=-62,9,-,7,1,=,-,6,2,7
2143,9*63=567,9,*,6,3,=,5,6,7,7
2144,567/9=63,5,6,7,/,9,=,6,3,7
2145,9-72=-63,9,-,7,2,=,-,6,3,7
2146,9*64=576,9,*,6,4,=,5,7,6,7
2147,576/9=64,5,7,6,/,9,=,6,4,7
2148,9-73=-64,9,-,7,3,=,-,6,4,7
2149,9*65=585,9,*,6,5,=,5,8,5,6
2150,585/9=65,5,8,5,/,9,=,6,5,6
2151,9-74=-65,9,-,7,4,=,-,6,5,7
2152,9*66=594,9,*,6,6,=,5,9,4,6
2153,594/9=66,5,9,4,/,9,=,6,6,6
2154,9-75=-66,9,-,7,5,=,-,6,6,6
2155,9*67=603,9,*,6,7,=,6,0,3,7
2156,603/9=67,6,0,3,/,9,=,6,7,7
2157,9-76=-67,9,-,7,6,=,-,6,7,5
2158,9*68=612,9,*,6,8,=,6,1,2,7
2159,612/9=68,6,1,2,/,9,=,6,8,7
2160,9-77=-68,9,-,7,7,=,-,6,8,6
2161,9*69=621,9,*,6,9,=,6,2,1,6
2162,621/9=69,6,2,1,/,9,=,6,9,6
2163,9-78=-69,9,-,7,8,=,-,6,9,6
2164,9*70=630,9,*,7,0,=,6,3,0,7
2165,630/9=70,6,3,0,/,9,=,7,0,7
2166,9-79=-70,9,-,7,9,=,-,7,0,5
2167,9*71=639,9,*,7,1,=,6,3,9,7
2168,639/9=71,6,3,9,/,9,=,7,1,7
2169,9-80=-71,9,-,8,0,=,-,7,1,7
2170,9*72=648,9,*,7,2,=,6,4,8,8
